ml_threshold,abstain_threshold,disagreement_margin,weighted_coverage,weighted_abstain_rate,weighted_accuracy_covered,weighted_f1_macro_covered,weighted_risk_at_coverage,weighted_strict_accuracy
0.65,0.55,0.2,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.7,0.55,0.1,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.7,0.55,0.15,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.7,0.55,0.2,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.75,0.55,0.05,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.75,0.55,0.1,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.75,0.55,0.15,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.75,0.55,0.2,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.8,0.55,0.05,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.8,0.55,0.1,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.8,0.55,0.15,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.85,0.55,0.05,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.85,0.55,0.1,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.9,0.55,0.05,0.9631901840490796,0.03680981595092024,0.9132632193981887,0.7796725900698034,0.0867367806018113,0.8773006134969324
0.55,0.55,0.2,0.9631901840490796,0.03680981595092024,0.900701139351446,0.763492724452587,0.0992988606485539,0.8650306748466257
0.6,0.55,0.15,0.9631901840490796,0.03680981595092024,0.900701139351446,0.763492724452587,0.0992988606485539,0.8650306748466257
0.65,0.55,0.1,0.9631901840490796,0.03680981595092024,0.900701139351446,0.763492724452587,0.0992988606485539,0.8650306748466257
0.7,0.55,0.05,0.9631901840490796,0.03680981595092024,0.900701139351446,0.763492724452587,0.0992988606485539,0.8650306748466257
0.55,0.55,0.15,0.9631901840490796,0.03680981595092024,0.8944200993280748,0.7546923391273282,0.10557990067192521,0.8588957055214723
0.6,0.55,0.1,0.9631901840490796,0.03680981595092024,0.8944200993280748,0.7546923391273282,0.10557990067192521,0.8588957055214723
0.65,0.55,0.05,0.9631901840490796,0.03680981595092024,0.8944200993280748,0.7546923391273282,0.10557990067192521,0.8588957055214723
0.55,0.55,0.1,0.9631901840490796,0.03680981595092024,0.8886941279579316,0.7486333260297985,0.11130587204206838,0.852760736196319
0.6,0.55,0.05,0.9631901840490796,0.03680981595092024,0.8886941279579316,0.7486333260297985,0.11130587204206838,0.852760736196319
0.55,0.55,0.05,0.9631901840490796,0.03680981595092024,0.8761320479111889,0.7313212094653813,0.12386795208881099,0.8404907975460121
0.85,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9870289219982471,0.9802858239093717,0.012971078001752855,0.9631901840490797
0.9,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9870289219982471,0.9802858239093717,0.012971078001752855,0.9631901840490797
0.9,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9870289219982471,0.9802858239093717,0.012971078001752855,0.9631901840490797
0.8,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9134092900964066,0.7808554996324217,0.08659070990359335,0.8895705521472392
0.85,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9134092900964066,0.7808554996324217,0.08659070990359335,0.8895705521472392
0.9,0.5,0.1,0.9754601226993864,0.024539877300613498,0.9134092900964066,0.7808554996324217,0.08659070990359335,0.8895705521472392
0.6,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.65,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.65,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.7,0.5,0.1,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.7,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.7,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.75,0.5,0.05,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.75,0.5,0.1,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.75,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.75,0.5,0.2,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.8,0.5,0.05,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.8,0.5,0.1,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.8,0.5,0.15,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.85,0.5,0.05,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.85,0.5,0.1,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.9,0.5,0.05,0.9754601226993864,0.024539877300613498,0.9072743207712531,0.7737346218658123,0.09272567922874674,0.8834355828220858
0.55,0.5,0.2,0.9754601226993864,0.024539877300613498,0.8950043821209464,0.7585403030116835,0.10499561787905348,0.871165644171779
0.6,0.5,0.15,0.9754601226993864,0.024539877300613498,0.8950043821209464,0.7585403030116835,0.10499561787905348,0.871165644171779
0.65,0.5,0.1,0.9754601226993864,0.024539877300613498,0.8950043821209464,0.7585403030116835,0.10499561787905348,0.871165644171779
0.7,0.5,0.05,0.9754601226993864,0.024539877300613498,0.8950043821209464,0.7585403030116835,0.10499561787905348,0.871165644171779
0.55,0.5,0.15,0.9754601226993864,0.024539877300613498,0.888869412795793,0.7503620633899255,0.11113058720420686,0.8650306748466257
0.6,0.5,0.1,0.9754601226993864,0.024539877300613498,0.888869412795793,0.7503620633899255,0.11113058720420686,0.8650306748466257
0.65,0.5,0.05,0.9754601226993864,0.024539877300613498,0.888869412795793,0.7503620633899255,0.11113058720420686,0.8650306748466257
0.55,0.5,0.1,0.9754601226993864,0.024539877300613498,0.8834355828220859,0.7459018604801629,0.11656441717791413,0.8588957055214723
0.6,0.5,0.05,0.9754601226993864,0.024539877300613498,0.8834355828220859,0.7459018604801629,0.11656441717791413,0.8588957055214723
0.55,0.5,0.05,0.9754601226993864,0.024539877300613498,0.8711656441717791,0.7297888515565711,0.12883435582822086,0.8466257668711655
