category,fold,algorithm,accuracy,balanced_accuracy,f1_macro,mcc,fit_time_s,support
LV_FUNCTION,12,K-Nearest Neighbors,0.8771929824561403,0.5633333333333334,0.47687020882897174,0.5535398449388692,0.0004260829882696271,57
LV_FUNCTION,13,Random Forest,0.9649122807017544,0.8055555555555555,0.8791783380018674,0.8330392106160396,0.06363675001193769,57
LV_FUNCTION,13,Gradient Boosting,1.0,1.0,1.0,1.0,0.10634120900067501,57
LV_FUNCTION,13,Decision Tree,1.0,1.0,1.0,1.0,0.0008883749833330512,57
LV_FUNCTION,13,SVM (RBF),0.9298245614035088,0.6877777777777778,0.7123212321232123,0.6675957120503441,0.0019293749937787652,57
LV_FUNCTION,13,Logistic Regression,0.9649122807017544,0.8055555555555555,0.8466996699669966,0.8349477330106516,0.025666250003268942,57
LV_FUNCTION,13,K-Nearest Neighbors,0.8771929824561403,0.7722222222222221,0.7330128205128205,0.5831949945516601,0.0004789580125361681,57
LV_FUNCTION,14,Random Forest,0.9642857142857143,0.7777777777777777,0.75,0.824121722892915,0.0747638329921756,56
LV_FUNCTION,14,Gradient Boosting,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.10696291702333838,56
LV_FUNCTION,14,Decision Tree,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.0009399999980814755,56
LV_FUNCTION,14,SVM (RBF),0.875,0.43111111111111106,0.4217687074829932,0.4551040991908595,0.00195087498286739,56
LV_FUNCTION,14,Logistic Regression,0.9107142857142857,0.6533333333333333,0.6122448979591836,0.6143905339076603,0.02573716698680073,56
LV_FUNCTION,14,K-Nearest Neighbors,0.8571428571428571,0.7377777777777778,0.5891130146449295,0.5432943466579555,0.00046075001591816545,56
LV_FUNCTION,15,Random Forest,0.9821428571428571,0.9166666666666666,0.9490806223479491,0.9064367634371219,0.0755869580025319,56
LV_FUNCTION,15,Gradient Boosting,0.9821428571428571,0.9166666666666666,0.9490806223479491,0.9064367634371219,0.10731749999104068,56
LV_FUNCTION,15,Decision Tree,0.9821428571428571,0.9166666666666666,0.9490806223479491,0.9064367634371219,0.0009043750178534538,56
LV_FUNCTION,15,SVM (RBF),0.9285714285714286,0.5766666666666667,0.5266666666666667,0.6382131441109758,0.0018428750045131892,56
LV_FUNCTION,15,Logistic Regression,0.9642857142857143,0.8266666666666667,0.818855218855219,0.8357232626807796,0.013221792003605515,56
LV_FUNCTION,15,K-Nearest Neighbors,0.9285714285714286,0.5766666666666667,0.5266666666666667,0.6382131441109758,0.0004254999803379178,56
LV_FUNCTION,16,Random Forest,0.9824561403508771,0.9166666666666666,0.9491447064262598,0.9065581132294988,0.07518804198480211,57
LV_FUNCTION,16,Gradient Boosting,1.0,1.0,1.0,1.0,0.10652691699215211,57
LV_FUNCTION,16,Decision Tree,1.0,1.0,1.0,1.0,0.0008572090009693056,57
LV_FUNCTION,16,SVM (RBF),0.9122807017543859,0.5702614379084968,0.5052505250525052,0.582181583197525,0.0018472910160198808,57
LV_FUNCTION,16,Logistic Regression,0.8947368421052632,0.48692810457516345,0.4567656765676567,0.4950033921725821,0.013150499988114461,57
LV_FUNCTION,16,K-Nearest Neighbors,0.9298245614035088,0.7369281045751634,0.7456545654565456,0.6654879441595137,0.00042870797915384173,57
LV_FUNCTION,17,Random Forest,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.06336791600915603,57
LV_FUNCTION,17,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.10563820897368714,57
LV_FUNCTION,17,Decision Tree,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.0009094999986700714,57
LV_FUNCTION,17,SVM (RBF),0.9473684210526315,0.9033333333333333,0.8344671201814059,0.7985075368540683,0.0020072920015081763,57
LV_FUNCTION,17,Logistic Regression,0.9122807017543859,0.8133333333333334,0.721172203130966,0.6838985506080981,0.01217895798617974,57
LV_FUNCTION,17,K-Nearest Neighbors,0.8947368421052632,0.8555555555555555,0.7431399010346378,0.6754226365496597,0.00045066699385643005,57
LV_FUNCTION,18,Random Forest,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.06441816600272432,57
LV_FUNCTION,18,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.10573333399952389,57
LV_FUNCTION,18,Decision Tree,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.0008593329985160381,57
LV_FUNCTION,18,SVM (RBF),0.9298245614035088,0.611111111111111,0.63003300330033,0.6658819398255463,0.0018190830014646053,57
LV_FUNCTION,18,Logistic Regression,0.9649122807017544,0.8055555555555555,0.8466996699669966,0.8349477330106516,0.010876582993660122,57
LV_FUNCTION,18,K-Nearest Neighbors,0.8596491228070176,0.5077777777777778,0.48639455782312924,0.4474608797850971,0.00043200000072829425,57
LV_FUNCTION,19,Random Forest,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.07454570799018256,56
LV_FUNCTION,19,Gradient Boosting,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.11258450002060272,56
LV_FUNCTION,19,Decision Tree,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.000984166981652379,56
LV_FUNCTION,19,SVM (RBF),0.9107142857142857,0.6533333333333333,0.6043083900226757,0.6151599650593896,0.0021147080115042627,56
LV_FUNCTION,19,Logistic Regression,0.9464285714285714,0.7711111111111112,0.7426647426647427,0.7502965972325679,0.011502459004987031,56
LV_FUNCTION,19,K-Nearest Neighbors,0.8928571428571429,0.5422222222222222,0.4746787603930461,0.5374412747403945,0.0007891659915912896,56
LV_FUNCTION,20,Random Forest,0.9821428571428571,0.8333333333333334,0.8855885588558855,0.9063892061195149,0.0758182090066839,56
LV_FUNCTION,20,Gradient Boosting,1.0,1.0,1.0,1.0,0.10695791599573568,56
LV_FUNCTION,20,Decision Tree,1.0,1.0,1.0,1.0,0.0009309999877586961,56
LV_FUNCTION,20,SVM (RBF),0.8571428571428571,0.5499999999999999,0.4663461538461539,0.4604434179273483,0.0019152919994667172,56
LV_FUNCTION,20,Logistic Regression,0.8928571428571429,0.7233333333333333,0.6527777777777778,0.6059114371339083,0.013263125001685694,56
LV_FUNCTION,20,K-Nearest Neighbors,0.8035714285714286,0.5299999999999999,0.4344086021505376,0.3805944505848597,0.0004326250054873526,56
LV_FUNCTION,21,Random Forest,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.07555066701024771,57
LV_FUNCTION,21,Gradient Boosting,1.0,1.0,1.0,1.0,0.1058236249955371,57
LV_FUNCTION,21,Decision Tree,1.0,1.0,1.0,1.0,0.0008662079926580191,57
LV_FUNCTION,21,SVM (RBF),0.9122807017543859,0.6535947712418301,0.6081481481481482,0.6140058316000183,0.0018495410040486604,57
LV_FUNCTION,21,Logistic Regression,0.9473684210526315,0.8267973856209151,0.7427314159987427,0.7533809029652061,0.013206333009293303,57
LV_FUNCTION,21,K-Nearest Neighbors,0.8947368421052632,0.7238562091503268,0.6530612244897959,0.6066879754857203,0.0004372919793240726,57
LV_FUNCTION,22,Random Forest,0.9649122807017544,0.8055555555555555,0.8379695112368379,0.8351020430206723,0.07410995900863782,57
LV_FUNCTION,22,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.1554508330009412,57
LV_FUNCTION,22,Decision Tree,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.0009714999760035425,57
LV_FUNCTION,22,SVM (RBF),0.9122807017543859,0.681111111111111,0.6565656565656566,0.6328057229374048,0.006533791980473325,57
LV_FUNCTION,22,Logistic Regression,0.8771929824561403,0.7722222222222221,0.6918578497525866,0.6125156262827797,0.039945833006640896,57
LV_FUNCTION,22,K-Nearest Neighbors,0.9298245614035088,0.7922222222222222,0.7487528344671203,0.728428263322223,0.0010454999865032732,57
LV_FUNCTION,23,Random Forest,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.08076754200737923,57
LV_FUNCTION,23,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.11336629101424478,57
LV_FUNCTION,23,Decision Tree,0.9824561403508771,0.9166666666666666,0.9490806223479491,0.9195006537514849,0.0009242079977411777,57
LV_FUNCTION,23,SVM (RBF),0.9298245614035088,0.7155555555555555,0.7567656765676567,0.6658819398255463,0.0019438750168774277,57
LV_FUNCTION,23,Logistic Regression,0.9473684210526315,0.7988888888888889,0.8155555555555556,0.7645458696117137,0.025829041987890378,57
LV_FUNCTION,23,K-Nearest Neighbors,0.9122807017543859,0.6044444444444445,0.6382471580491382,0.5826560790439387,0.00045366701669991016,57
LV_FUNCTION,24,Random Forest,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.07503329101018608,56
LV_FUNCTION,24,Gradient Boosting,1.0,1.0,1.0,1.0,0.10746783300419338,56
LV_FUNCTION,24,Decision Tree,1.0,1.0,1.0,1.0,0.0009105000062845647,56
LV_FUNCTION,24,SVM (RBF),0.8928571428571429,0.5422222222222222,0.45986394557823135,0.5408666840164125,0.0018369169847574085,56
LV_FUNCTION,24,Logistic Regression,0.9285714285714286,0.7644444444444444,0.6931972789115646,0.7019759090425779,0.01323133398545906,56
LV_FUNCTION,24,K-Nearest Neighbors,0.875,0.64,0.573989898989899,0.5397437590622828,0.00044845801312476397,56
LV_FUNCTION,25,Random Forest,0.9821428571428571,0.9166666666666666,0.9490806223479491,0.9064367634371219,0.07492783301859163,56
LV_FUNCTION,25,Gradient Boosting,1.0,1.0,1.0,1.0,0.108689916000003,56
LV_FUNCTION,25,Decision Tree,1.0,1.0,1.0,1.0,0.0008836250053718686,56
LV_FUNCTION,25,SVM (RBF),0.875,0.64,0.6040299906279287,0.4933583672426532,0.0018792920163832605,56
LV_FUNCTION,25,Logistic Regression,0.8928571428571429,0.7233333333333333,0.7050400916380296,0.5708859327260833,0.013285790977533907,56
LV_FUNCTION,25,K-Nearest Neighbors,0.8214285714285714,0.45999999999999996,0.4421052631578948,0.36307625385045544,0.0004326250054873526,56
LV_FUNCTION,26,Random Forest,1.0,1.0,1.0,1.0,0.06381433398928493,57
LV_FUNCTION,26,Gradient Boosting,1.0,1.0,1.0,1.0,0.10555162499076687,57
LV_FUNCTION,26,Decision Tree,1.0,1.0,1.0,1.0,0.0009071249805856496,57
LV_FUNCTION,26,SVM (RBF),0.9473684210526315,0.6601307189542484,0.5724572457245725,0.7541212217584521,0.0018620420014485717,57
LV_FUNCTION,26,Logistic Regression,0.9473684210526315,0.9803921568627452,0.8989898989898991,0.7989855683066053,0.013178833993151784,57
LV_FUNCTION,26,K-Nearest Neighbors,0.9122807017543859,0.6470588235294118,0.5454545454545454,0.6483744316288548,0.00042908400064334273,57
LV_FUNCTION,27,Random Forest,0.9649122807017544,0.7777777777777777,0.7929959662632929,0.8374749780631549,0.06360316602513194,57
LV_FUNCTION,27,Gradient Boosting,1.0,1.0,1.0,1.0,0.10569520900025964,57
LV_FUNCTION,27,Decision Tree,1.0,1.0,1.0,1.0,0.0008757910109125078,57
LV_FUNCTION,27,SVM (RBF),0.9298245614035088,0.6877777777777778,0.6632996632996634,0.7073303638618511,0.0019335000251885504,57
LV_FUNCTION,27,Logistic Regression,0.9298245614035088,0.7155555555555555,0.6871091871091871,0.7064565679169111,0.023256291984580457,57
LV_FUNCTION,27,K-Nearest Neighbors,0.8947368421052632,0.7022222222222222,0.6468335787923417,0.6160131284151751,0.00042033399222418666,57
LV_FUNCTION,28,Random Forest,0.9824561403508771,0.9933333333333333,0.9595959595959597,0.9287697121573856,0.07625279197236523,57
LV_FUNCTION,28,Gradient Boosting,1.0,1.0,1.0,1.0,0.10602474998449907,57
LV_FUNCTION,28,Decision Tree,1.0,1.0,1.0,1.0,0.0009027920023072511,57
LV_FUNCTION,28,SVM (RBF),0.8771929824561403,0.6955555555555555,0.6311327561327561,0.579983003469168,0.0019037080055568367,57
LV_FUNCTION,28,Logistic Regression,0.8421052631578947,0.6822222222222222,0.6050970306289455,0.5200962847311082,0.013156458997400478,57
LV_FUNCTION,28,K-Nearest Neighbors,0.8421052631578947,0.7588888888888888,0.6287565481113868,0.5527355028937792,0.0004395419964566827,57
LV_FUNCTION,29,Random Forest,0.9821428571428571,0.8888888888888888,0.8857142857142857,0.9108601914696638,0.07553462500800379,56
LV_FUNCTION,29,Gradient Boosting,1.0,1.0,1.0,1.0,0.10595145900151692,56
LV_FUNCTION,29,Decision Tree,1.0,1.0,1.0,1.0,0.0008739170152693987,56
