category,algorithm,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fit_time_mean_s,folds
LV_FUNCTION,SVM (RBF),0.9112781954887218,0.026921159674787937,0.6614575163398694,0.11158626931733515,0.6202794109622087,0.12239379581052595,0.6199344314758463,0.09977973049851566,0.0021108417224604634,50
LV_FUNCTION,K-Nearest Neighbors,0.8843859649122807,0.0352604311534529,0.6530418300653595,0.1282025341940417,0.5927402271695957,0.12099223407002256,0.5593044795409516,0.11132759150759322,0.0005443408212158829,50
LV_HYPERTROPHY,Decision Tree,0.9819807692307693,0.01842004029486463,0.9626811151811152,0.04058107515947923,0.96244957812433,0.03907212780073656,0.9649498702017018,0.03583756191435657,0.0009099216392496601,50
LV_HYPERTROPHY,Gradient Boosting,0.9819759615384615,0.017356238741545713,0.9626811151811152,0.038989801337508304,0.9623836357159087,0.03721711502960088,0.9649604217929404,0.03383471929157986,0.13527572836203036,50
LV_HYPERTROPHY,Random Forest,0.977326923076923,0.020172583717274664,0.950022385022385,0.04625458913084595,0.9520906153979299,0.043704039828734616,0.9559603981385904,0.039385777821403616,0.07026637338101864,50
LV_HYPERTROPHY,Logistic Regression,0.8791682692307693,0.036214813676582316,0.8072641290664546,0.055711767880713935,0.7895231082832279,0.056130175858185694,0.7751102269913251,0.06379151944415658,0.013424690001411364,50
LV_HYPERTROPHY,SVM (RBF),0.8676826923076923,0.03630430319207417,0.7914323338160547,0.06292732400731167,0.7802107791029392,0.057963969290782756,0.7489170697390071,0.06830307389762691,0.002383154079434462,50
LV_HYPERTROPHY,K-Nearest Neighbors,0.7776634615384616,0.04604555728253795,0.6975588257565002,0.07115435240152508,0.6750722286381888,0.06201558254139643,0.6017947033201597,0.07558945675528005,0.00039796756056603044,50
LV_SIZE,Gradient Boosting,0.9438941655359566,0.027691888597463483,0.7410996672716272,0.12610524125310252,0.7370664736528645,0.12772130658260322,0.7815268466856441,0.1046692544251845,0.46308748091803864,50
LV_SIZE,Random Forest,0.9363455450022614,0.026840368119340173,0.6900207199032063,0.14833065226294842,0.6905056283307629,0.15067633984387396,0.7415668441308105,0.11725077316563597,0.07403844174055849,50
LV_SIZE,Decision Tree,0.9244097693351425,0.040616902195588216,0.6988768905021173,0.1317575651136907,0.6843492838817107,0.1405437799198504,0.7144011384748127,0.14768346662741277,0.001410694961086847,50
LV_SIZE,Logistic Regression,0.9047896879240163,0.038918704473514754,0.7268383242589231,0.11235795046581211,0.6710923653753876,0.117825151357707,0.6932863519867878,0.1005755123657563,0.015001067380071618,50
LV_SIZE,SVM (RBF),0.9201040253279059,0.02657243819703337,0.6908389292196007,0.12178617650602187,0.6589475252631418,0.12686343043726064,0.7114187695846766,0.09747175569280148,0.0032651267014443875,50
LV_SIZE,K-Nearest Neighbors,0.8429172320217095,0.043736216195693685,0.5978519358741682,0.11873830239910026,0.5321479583620533,0.11177048410589302,0.5287661578226871,0.09880099046727046,0.0005920274200616405,50
